freq,unit,sex,geo\TIME_PERIOD	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 
A,THS_PER,F,AT	20.0 s	23.9 s	30.7 	29.5 s	35.2 	37.7 	39.3 	36.8 b
A,THS_PER,F,BE	29.2 	28.5 	27.3 	35.8 b	41.1 	41.2 s	42.0 	53.4 b
A,THS_PER,F,BG	23.3 s	27.0 s	26.4 s	27.8 s	30.7 s	28.5 	29.1 	30.5 b
A,THS_PER,F,CH	29.5 s	30.5 	34.1 	33.9 	33.9 	42.5 s	41.6 s	41.7 b
A,THS_PER,F,CY	1.6 s	2.0 s	2.4 s	2.0 s	2.4 s	2.2 s	2.3 s	3.2 bs
A,THS_PER,F,CZ	18.3 s	17.4 s	18.9 s	19.2 	20.6 	21.9 s	22.6 	24.2 b
A,THS_PER,F,DE	234.5 	238.8 	255.5 	257.6 	272.7 	283.2 	339.6 b	382.0 b
A,THS_PER,F,DK	22.0 s	24.7 s	28.1 bs	28.2 bs	28.5 s	31.8 s	34.6 s	37.1 bs
A,THS_PER,F,EE	4.8 s	6.0 s	6.8 s	7.0 s	8.0 	9.1 s	9.2 s	9.1 bs
A,THS_PER,F,EL	13.0 s	10.5 s	11.8 s	12.0 s	13.4 s	16.4 s	22.0 s	19.7 b
A,THS_PER,F,ES	103.8 s	103.5 s	107.2 s	109.7 s	122.4 s	141.0 s	143.6 s	156.8 bd
A,THS_PER,F,EU27_2020	1030.6 s	1080.7 s	1177.6 s	1233.9 s	1304.4 s	1402.4 s	1561.1 s	1701.2 bs
A,THS_PER,F,FI	31.8 	34.7 	33.8 	33.9 	33.7 	36.8 	44.7 	45.0 b
A,THS_PER,F,FR	143.9 b	143.7 	170.6 	187.9 	204.2 	222.9 	244.5 	258.8 bd
A,THS_PER,F,HR	6.4 u	7.6 u	7.3 u	7.9 u	11.1 s	11.4 s	11.4 s	12.7 bs
A,THS_PER,F,HU	16.8 	18.5 s	20.9 s	14.3 s	14.3 s	16.1 	21.1 s	25.4 bs
A,THS_PER,F,IE	20.0 s	19.2 s	22.5 s	23.0 bs	20.0 s	24.1 s	26.8 s	30.0 bs
A,THS_PER,F,IS	1.5 s	1.9 s	1.9 s	1.6 s	1.5 s	1.7 s	1.9 bs	1.9 bs
A,THS_PER,F,IT	102.7 s	107.6 s	116.4 s	124.7 s	123.9 s	124.1 s	130.6 s	136.7 bs
A,THS_PER,F,LT	3.9 u	5.8 s	8.6 s	9.6 s	9.8 s	10.2 s	10.5 s	12.4 bs
A,THS_PER,F,LU	1.5 s	1.8 bs	1.7 s	1.6 s	2.3 s	2.8 s	3.7 s	4.0 bs
A,THS_PER,F,LV	5.7 s	6.5 s	6.3 s	6.2 s	4.4 s	6.7 s	7.4 s	7.5 bs
A,THS_PER,F,ME	: u	: u	: u	1.7 u	1.3 u	: u	: u	: 
A,THS_PER,F,MK	3.1 s	2.8 s	3.6 s	3.3 s	3.0 s	3.8 s	4.3 s	: 
A,THS_PER,F,MT	1.0 s	1.3 s	1.0 s	1.0 s	2.0 s	1.3 s	1.2 s	3.4 bs
A,THS_PER,F,NL	52.0 	57.5 	64.3 	70.6 	74.5 	87.2 	92.9 	108.8 b
A,THS_PER,F,NO	19.8 s	22.2 s	19.4 s	22.8 s	27.0 s	26.0 s	26.5 s	28.7 bs
A,THS_PER,F,PL	58.0 s	57.8 s	63.1 s	67.1 	68.0 	73.5 s	83.5 s	90.7 bs
A,THS_PER,F,PT	21.0 s	23.3 s	24.8 s	23.6 s	26.2 s	30.8 s	40.0 s	46.7 b
A,THS_PER,F,RO	30.1 	44.0 s	44.1 	47.7 	45.1 s	46.5 s	53.3 s	52.9 bs
A,THS_PER,F,RS	7.6 bs	9.8 s	13.0 s	14.3 s	13.2 s	16.1 s	19.9 s	22.2 b
A,THS_PER,F,SE	53.0 	55.6 	64.7 	69.6 	72.4 b	73.8 s	80.9 s	89.1 b
A,THS_PER,F,SI	4.4 s	5.3 s	5.6 	5.9 s	6.5 s	7.5 s	7.3 s	7.7 bs
A,THS_PER,F,SK	8.0 s	8.2 s	7.1 s	10.3 s	10.9 s	13.5 s	16.9 s	16.5 bs
A,THS_PER,F,TR	43.2 bs	44.7 s	43.5 s	48.2 s	51.5 s	46.1 s	61.2 s	: 
A,THS_PER,F,UK	251.6 s	283.5 s	278.4 s	292.2 s	299.0 s	313.5 s	: 	: 
